bp_map,n,percent
0,115,0.000136252811665629
8,1,1.18480705796199e-06
22,1,1.18480705796199e-06
23,1,1.18480705796199e-06
24,2,2.36961411592399e-06
25,1,1.18480705796199e-06
26,4,4.73922823184797e-06
27,7,8.29364940573395e-06
28,15,1.77721058694299e-05
29,30,3.55442117388598e-05
30,37,4.38378611445938e-05
31,60,7.10884234777196e-05
32,74,8.76757222891875e-05
33,78,9.24149505210355e-05
34,142,0.000168242602230603
35,166,0.000196677971621691
36,185,0.000219189305722969
37,192,0.000227482955128703
38,246,0.00029146253625865
39,278,0.000329376362113434
40,377,0.000446672260851672
41,414,0.000490510121996265
42,636,0.000753537288863828
43,722,0.000855430695848559
44,860,0.00101893406984731
45,1168,0.00138385464369961
46,1266,0.00149996573537988
47,1720,0.00203786813969463
48,1904,0.00225587263835964
49,2787,0.00330205727054008
50,2969,0.00351769215508916
51,4195,0.00497026560815056
52,4933,0.00584465321692651
53,6472,0.00766807127913002
54,7551,0.00894647809467101
55,9891,0.0117189266103021
56,11453,0.0135695952348387
57,15240,0.0180564595633408
58,17691,0.0209604216624056
59,24016,0.0284543263040152
60,28511,0.0337800340295544
61,36456,0.0431933261050624
62,43685,0.0517582963270697
63,56290,0.0666927892926806
64,67187,0.0796036318032925
65,85437,0.101226360611099
66,104639,0.123977025738085
67,132216,0.156650449975503
68,161061,0.190826209562417
69,195684,0.231847784330235
70,239055,0.283234051241104
71,283453,0.335837115000501
72,340582,0.403523957414812
73,397107,0.470495176366113
74,474281,0.561931476257272
75,542327,0.642552857323354
76,635725,0.753211466922888
77,711351,0.842813685488322
78,830463,0.983938423776291
79,898451,1.06449108603301
80,1049402,1.24333889623943
81,1109150,1.31412874833855
82,1287507,1.52544738077547
83,1344185,1.59259987520664
84,1552735,1.83969138714462
85,1602086,1.8981628002621
86,1811202,2.14592491299488
87,1859685,2.20336791358605
88,2059552,2.44017174583974
89,2108483,2.49814553999288
90,2261375,2.6792930606988
91,2333916,2.76524014949042
92,2422764,2.87050788697623
93,2512190,2.97646044294154
94,2542261,3.01208877598152
95,2658309,3.14958326544389
96,2587623,3.06583399374479
97,2719305,3.22185175675134
98,2523204,2.98950990787793
99,2655912,3.14674328292595
100,2424552,2.87262632199587
101,2518029,2.98337853135298
102,2277356,2.69822746229209
103,2327395,2.75751402266545
104,2105955,2.49515034775035
105,2123356,2.51576717536595
106,1899108,2.25007656223209
107,1868863,2.21424207276403
108,1676351,1.98615249642165
109,1616992,1.91582353426808
110,1459586,1.72932779450251
111,1359707,1.61099045036033
112,1245291,1.47542956601655
113,1127792,1.33621592151307
114,1043908,1.23682956626299
115,923227,1.09384586570108
116,874430,1.03603083569371
117,743294,0.880659977340802
118,708799,0.839790057876403
119,609700,0.722376863239427
120,581749,0.689260321162332
121,493721,0.584964125464054
122,474865,0.562623403579122
123,409945,0.48570572937623
124,392607,0.465163544605284
125,347798,0.412073525145065
126,319137,0.378115770056817
127,287503,0.340635583585247
128,260912,0.30913037910698
129,235682,0.279237697034599
130,217608,0.257823494268993
131,197617,0.234138016373275
132,175578,0.208026053622851
133,167328,0.198251395394664
134,146410,0.173467601356215
135,137001,0.162319751747851
136,119441,0.141514539810038
137,112545,0.133344110338333
138,96416,0.114234357300464
139,90430,0.107142102251503
140,77250,0.091526345227564
141,73268,0.0868084435227594
142,61597,0.0729805603492849
143,59278,0.0702329927818711
144,50907,0.0603149728996712
145,48300,0.0572261808995643
146,41322,0.0489585972491055
147,39192,0.0464349582156465
148,34128,0.0404350952741269
149,32047,0.037969511786508
150,28314,0.0335466270391359
151,26313,0.0311758281161539
152,23238,0.0275325464129208
153,22401,0.0265408629054066
154,19764,0.0234165266935608
155,18256,0.0216298376501542
156,16965,0.0201002517383252
157,15769,0.0186832224970027
158,14413,0.0170766241264062
159,13039,0.0154486992287664
160,12071,0.0143018059966592
161,10584,0.0125399979014697
162,9894,0.011722481031476
163,8714,0.0103244087030808
164,7833,0.0092805936850163
165,6551,0.00776167103670902
166,6129,0.00726168245824906
167,5081,0.00602000466150489
168,4810,0.00569892194879719
169,4063,0.00481387107649958
170,3809,0.00451293008377723
171,3175,0.00376176240902933
172,2749,0.00325703460233752
173,2495,0.00295609360961517
174,2253,0.00266937030158837
175,2001,0.00237079892298195
176,1556,0.00184355978218886
177,1365,0.00161726163411812
178,1231,0.00145849748835121
179,1041,0.00123338414733844
180,850,0.00100708599926769
181,760,0.000900453364051115
182,663,0.000785527079428802
183,608,0.000720362691240892
184,474,0.000561598545473985
185,421,0.000498803771401999
186,355,0.000420606505576508
187,322,0.000381507872663762
188,341,0.00040401920676504
189,306,0.00036255095973637
190,259,0.000306865028012156
191,247,0.000292647343316612
192,225,0.000266581588041449
193,232,0.000274875237447183
194,201,0.000238146218650361
195,200,0.000236961411592399
196,181,0.000214450077491121
197,133,0.000157579338708945
198,137,0.000162318566940793
199,116,0.000137437618723591
200,116,0.000137437618723591
201,117,0.000138622425781553
202,95,0.000112556670506389
203,76,9.00453364051115e-05
204,70,8.29364940573395e-05
205,73,8.64909152312255e-05
206,47,5.56859317242137e-05
207,48,5.68707387821757e-05
208,30,3.55442117388598e-05
209,33,3.90986329127458e-05
210,28,3.31745976229358e-05
211,28,3.31745976229358e-05
212,20,2.36961411592399e-05
213,23,2.72505623331259e-05
214,24,2.84353693910878e-05
215,9,1.06632635216579e-05
216,15,1.77721058694299e-05
217,2,2.36961411592399e-06
218,5,5.92403528980997e-06
219,7,8.29364940573395e-06
220,6,7.10884234777196e-06
221,2,2.36961411592399e-06
222,1,1.18480705796199e-06
223,2,2.36961411592399e-06
224,7,8.29364940573395e-06
225,5,5.92403528980997e-06
226,5,5.92403528980997e-06
227,1,1.18480705796199e-06
228,2,2.36961411592399e-06
229,1,1.18480705796199e-06
232,1,1.18480705796199e-06
234,1,1.18480705796199e-06
237,1,1.18480705796199e-06
238,1,1.18480705796199e-06
240,1,1.18480705796199e-06
246,1,1.18480705796199e-06
247,2,2.36961411592399e-06
253,1,1.18480705796199e-06
255,3,3.55442117388598e-06
260,1,1.18480705796199e-06
340,1,1.18480705796199e-06
489,1,1.18480705796199e-06
651,1,1.18480705796199e-06
658,1,1.18480705796199e-06
660,2,2.36961411592399e-06
672,1,1.18480705796199e-06
712,1,1.18480705796199e-06
720,1,1.18480705796199e-06
730,1,1.18480705796199e-06
740,3,3.55442117388598e-06
780,2,2.36961411592399e-06
788,1,1.18480705796199e-06
796,1,1.18480705796199e-06
797,2,2.36961411592399e-06
799,1,1.18480705796199e-06
800,1,1.18480705796199e-06
808,1,1.18480705796199e-06
810,3,3.55442117388598e-06
812,1,1.18480705796199e-06
820,1,1.18480705796199e-06
830,1,1.18480705796199e-06
840,1,1.18480705796199e-06
850,1,1.18480705796199e-06
870,5,5.92403528980997e-06
881,1,1.18480705796199e-06
890,2,2.36961411592399e-06
900,3,3.55442117388598e-06
908,1,1.18480705796199e-06
910,4,4.73922823184797e-06
920,4,4.73922823184797e-06
925,1,1.18480705796199e-06
930,4,4.73922823184797e-06
940,1,1.18480705796199e-06
945,1,1.18480705796199e-06
950,1,1.18480705796199e-06
960,3,3.55442117388598e-06
970,1,1.18480705796199e-06
978,1,1.18480705796199e-06
980,3,3.55442117388598e-06
990,9,1.06632635216579e-05
1000,6,7.10884234777196e-06
1007,1,1.18480705796199e-06
1008,1,1.18480705796199e-06
1010,1,1.18480705796199e-06
1020,1,1.18480705796199e-06
1030,1,1.18480705796199e-06
1040,3,3.55442117388598e-06
1050,2,2.36961411592399e-06
1060,4,4.73922823184797e-06
1070,2,2.36961411592399e-06
1080,1,1.18480705796199e-06
1090,1,1.18480705796199e-06
1100,3,3.55442117388598e-06
1120,2,2.36961411592399e-06
1160,1,1.18480705796199e-06
1170,2,2.36961411592399e-06
1180,2,2.36961411592399e-06
1200,2,2.36961411592399e-06
1210,1,1.18480705796199e-06
1220,1,1.18480705796199e-06
1224,1,1.18480705796199e-06
1230,1,1.18480705796199e-06
1240,1,1.18480705796199e-06
1260,2,2.36961411592399e-06
1290,1,1.18480705796199e-06
1340,1,1.18480705796199e-06
1350,1,1.18480705796199e-06
1370,1,1.18480705796199e-06
1400,1,1.18480705796199e-06
1420,1,1.18480705796199e-06
1494,1,1.18480705796199e-06
1700,1,1.18480705796199e-06
2514,1,1.18480705796199e-06
2627,2,2.36961411592399e-06
