bp_systolic,n,percent
0,18,2.13265270433159e-05
4.4,1,1.18480705796199e-06
6.9,1,1.18480705796199e-06
7.9,1,1.18480705796199e-06
8,1,1.18480705796199e-06
10,381,0.00045141148908352
11,329,0.000389801522069496
11.8,1,1.18480705796199e-06
12,275,0.000325821940939548
12.9,1,1.18480705796199e-06
13,265,0.000313973870359928
13.7,1,1.18480705796199e-06
14,209,0.000247624675114057
14.2,1,1.18480705796199e-06
14.4,1,1.18480705796199e-06
14.5,2,2.36961411592399e-06
15,126,0.000149285689303211
15.1,2,2.36961411592399e-06
15.8,3,3.55442117388598e-06
15.9,2,2.36961411592399e-06
16,1,1.18480705796199e-06
16.1,1,1.18480705796199e-06
16.2,2,2.36961411592399e-06
16.3,2,2.36961411592399e-06
16.4,1,1.18480705796199e-06
16.5,3,3.55442117388598e-06
16.7,1,1.18480705796199e-06
16.8,2,2.36961411592399e-06
16.9,5,5.92403528980997e-06
17,128,0.000151655303419135
17.1,3,3.55442117388598e-06
17.2,3,3.55442117388598e-06
17.3,5,5.92403528980997e-06
17.4,6,7.10884234777196e-06
17.5,6,7.10884234777196e-06
17.6,6,7.10884234777196e-06
17.7,9,1.06632635216579e-05
17.8,8,9.47845646369595e-06
17.9,8,9.47845646369595e-06
18,124,0.000146916075187287
18.1,8,9.47845646369595e-06
18.2,6,7.10884234777196e-06
18.3,3,3.55442117388598e-06
18.4,4,4.73922823184797e-06
18.5,6,7.10884234777196e-06
18.6,4,4.73922823184797e-06
18.7,8,9.47845646369595e-06
18.8,7,8.29364940573395e-06
18.9,5,5.92403528980997e-06
19,115,0.000136252811665629
19.1,13,1.54024917535059e-05
19.2,7,8.29364940573395e-06
19.3,9,1.06632635216579e-05
19.4,9,1.06632635216579e-05
19.5,16,1.89569129273919e-05
19.6,13,1.54024917535059e-05
19.7,12,1.42176846955439e-05
19.8,14,1.65872988114679e-05
19.9,8,9.47845646369595e-06
20,219,0.000259472745693677
20.1,10,1.18480705796199e-05
20.2,12,1.42176846955439e-05
20.3,8,9.47845646369595e-06
20.4,12,1.42176846955439e-05
20.5,13,1.54024917535059e-05
20.6,8,9.47845646369595e-06
20.7,19,2.25113341012779e-05
20.8,14,1.65872988114679e-05
20.9,18,2.13265270433159e-05
21,109,0.000129143969317857
21.1,13,1.54024917535059e-05
21.2,23,2.72505623331259e-05
21.3,11,1.30328776375819e-05
21.4,16,1.89569129273919e-05
21.5,15,1.77721058694299e-05
21.6,11,1.30328776375819e-05
21.7,19,2.25113341012779e-05
21.8,21,2.48809482172019e-05
21.9,22,2.60657552751639e-05
22,129,0.000152840110477097
22.1,25,2.96201764490498e-05
22.2,24,2.84353693910878e-05
22.3,28,3.31745976229358e-05
22.4,18,2.13265270433159e-05
22.5,30,3.55442117388598e-05
22.6,34,4.02834399707078e-05
22.7,29,3.43594046808978e-05
22.8,35,4.14682470286698e-05
22.9,25,2.96201764490498e-05
23,39,4.62074752605177e-05
23.1,21,2.48809482172019e-05
23.2,29,3.43594046808978e-05
23.3,26,3.08049835070118e-05
23.4,25,2.96201764490498e-05
23.5,33,3.90986329127458e-05
23.6,31,3.67290187968218e-05
23.7,31,3.67290187968218e-05
23.8,38,4.50226682025558e-05
23.9,36,4.26530540866318e-05
24,72,8.53061081732635e-05
24.1,28,3.31745976229358e-05
24.2,38,4.50226682025558e-05
24.3,42,4.97618964344037e-05
24.4,28,3.31745976229358e-05
24.5,29,3.43594046808978e-05
24.6,32,3.79138258547838e-05
24.7,31,3.67290187968218e-05
24.8,27,3.19897905649738e-05
24.9,28,3.31745976229358e-05
25,102,0.000120850319912123
25.1,30,3.55442117388598e-05
25.2,25,2.96201764490498e-05
25.3,35,4.14682470286698e-05
25.4,33,3.90986329127458e-05
25.5,37,4.38378611445938e-05
25.6,41,4.85770893764417e-05
25.7,29,3.43594046808978e-05
25.8,36,4.26530540866318e-05
25.9,34,4.02834399707078e-05
26,128,0.000151655303419135
26.1,42,4.97618964344037e-05
26.2,42,4.97618964344037e-05
26.3,39,4.62074752605177e-05
26.4,38,4.50226682025558e-05
26.5,47,5.56859317242137e-05
26.6,44,5.21315105503277e-05
26.7,44,5.21315105503277e-05
26.8,46,5.45011246662517e-05
26.9,39,4.62074752605177e-05
27,121,0.000143361654013401
27.1,42,4.97618964344037e-05
27.2,62,7.34580375936436e-05
27.3,49,5.80555458401377e-05
27.4,43,5.09467034923657e-05
27.5,58,6.87188093617956e-05
27.6,53,6.27947740719857e-05
27.7,49,5.80555458401377e-05
27.8,50,5.92403528980997e-05
27.9,40,4.73922823184797e-05
28,120,0.000142176846955439
28.1,49,5.80555458401377e-05
28.2,48,5.68707387821757e-05
28.3,39,4.62074752605177e-05
28.4,41,4.85770893764417e-05
28.5,40,4.73922823184797e-05
28.6,32,3.79138258547838e-05
28.7,44,5.21315105503277e-05
28.8,33,3.90986329127458e-05
28.9,54,6.39795811299477e-05
29,147,0.000174166637520413
29.1,46,5.45011246662517e-05
29.2,41,4.85770893764417e-05
29.3,53,6.27947740719857e-05
29.4,42,4.97618964344037e-05
29.5,39,4.62074752605177e-05
29.6,48,5.68707387821757e-05
29.7,49,5.80555458401377e-05
29.8,35,4.14682470286698e-05
29.9,44,5.21315105503277e-05
30,76,9.00453364051115e-05
30.1,41,4.85770893764417e-05
30.2,35,4.14682470286698e-05
30.3,34,4.02834399707078e-05
30.4,37,4.38378611445938e-05
30.5,36,4.26530540866318e-05
30.6,33,3.90986329127458e-05
30.7,36,4.26530540866318e-05
30.8,40,4.73922823184797e-05
30.9,37,4.38378611445938e-05
31,77,9.12301434630735e-05
31.1,44,5.21315105503277e-05
31.2,40,4.73922823184797e-05
31.3,33,3.90986329127458e-05
31.4,37,4.38378611445938e-05
31.5,34,4.02834399707078e-05
31.6,35,4.14682470286698e-05
31.7,44,5.21315105503277e-05
31.8,40,4.73922823184797e-05
31.9,35,4.14682470286698e-05
32,33,3.90986329127458e-05
32.1,25,2.96201764490498e-05
32.2,30,3.55442117388598e-05
32.3,37,4.38378611445938e-05
32.4,33,3.90986329127458e-05
32.5,26,3.08049835070118e-05
32.6,23,2.72505623331259e-05
32.7,23,2.72505623331259e-05
32.8,22,2.60657552751639e-05
32.9,25,2.96201764490498e-05
33,67,7.93820728834536e-05
33.1,21,2.48809482172019e-05
33.2,26,3.08049835070118e-05
33.3,16,1.89569129273919e-05
33.4,20,2.36961411592399e-05
33.5,17,2.01417199853539e-05
33.6,13,1.54024917535059e-05
33.7,12,1.42176846955439e-05
33.8,23,2.72505623331259e-05
33.9,15,1.77721058694299e-05
34,60,7.10884234777196e-05
34.1,26,3.08049835070118e-05
34.2,26,3.08049835070118e-05
34.3,14,1.65872988114679e-05
34.4,14,1.65872988114679e-05
34.5,24,2.84353693910878e-05
34.6,17,2.01417199853539e-05
34.7,21,2.48809482172019e-05
34.8,12,1.42176846955439e-05
34.9,17,2.01417199853539e-05
35,48,5.68707387821757e-05
35.1,14,1.65872988114679e-05
35.2,12,1.42176846955439e-05
35.3,15,1.77721058694299e-05
35.4,18,2.13265270433159e-05
35.5,20,2.36961411592399e-05
35.6,19,2.25113341012779e-05
35.7,16,1.89569129273919e-05
35.8,14,1.65872988114679e-05
35.9,18,2.13265270433159e-05
36,48,5.68707387821757e-05
36.1,21,2.48809482172019e-05
36.2,17,2.01417199853539e-05
36.3,17,2.01417199853539e-05
36.4,18,2.13265270433159e-05
36.5,23,2.72505623331259e-05
36.6,20,2.36961411592399e-05
36.7,20,2.36961411592399e-05
36.8,17,2.01417199853539e-05
36.9,8,9.47845646369595e-06
37,40,4.73922823184797e-05
37.1,16,1.89569129273919e-05
37.2,25,2.96201764490498e-05
37.3,24,2.84353693910878e-05
37.4,19,2.25113341012779e-05
37.5,16,1.89569129273919e-05
37.6,18,2.13265270433159e-05
37.7,7,8.29364940573395e-06
37.8,21,2.48809482172019e-05
37.9,12,1.42176846955439e-05
38,43,5.09467034923657e-05
38.1,15,1.77721058694299e-05
38.2,22,2.60657552751639e-05
38.3,20,2.36961411592399e-05
38.4,26,3.08049835070118e-05
38.5,22,2.60657552751639e-05
38.6,12,1.42176846955439e-05
38.7,17,2.01417199853539e-05
38.8,22,2.60657552751639e-05
38.9,15,1.77721058694299e-05
39,45,5.33163176082897e-05
39.1,15,1.77721058694299e-05
39.2,15,1.77721058694299e-05
39.3,20,2.36961411592399e-05
39.4,21,2.48809482172019e-05
39.5,20,2.36961411592399e-05
39.6,21,2.48809482172019e-05
39.7,13,1.54024917535059e-05
39.8,18,2.13265270433159e-05
39.9,13,1.54024917535059e-05
40,95,0.000112556670506389
40.1,10,1.18480705796199e-05
40.2,14,1.65872988114679e-05
40.3,13,1.54024917535059e-05
40.4,10,1.18480705796199e-05
40.5,11,1.30328776375819e-05
40.6,9,1.06632635216579e-05
40.7,11,1.30328776375819e-05
40.8,11,1.30328776375819e-05
40.9,9,1.06632635216579e-05
41,58,6.87188093617956e-05
41.1,7,8.29364940573395e-06
41.2,8,9.47845646369595e-06
41.3,7,8.29364940573395e-06
41.4,10,1.18480705796199e-05
41.5,6,7.10884234777196e-06
41.6,8,9.47845646369595e-06
41.7,4,4.73922823184797e-06
41.8,2,2.36961411592399e-06
41.9,7,8.29364940573395e-06
42,37,4.38378611445938e-05
42.1,9,1.06632635216579e-05
42.2,8,9.47845646369595e-06
42.3,5,5.92403528980997e-06
42.4,3,3.55442117388598e-06
42.5,3,3.55442117388598e-06
42.6,3,3.55442117388598e-06
42.7,10,1.18480705796199e-05
42.8,7,8.29364940573395e-06
42.9,3,3.55442117388598e-06
43,115,0.000136252811665629
43.1,3,3.55442117388598e-06
43.2,3,3.55442117388598e-06
43.3,3,3.55442117388598e-06
43.4,6,7.10884234777196e-06
43.5,8,9.47845646369595e-06
43.6,9,1.06632635216579e-05
43.7,3,3.55442117388598e-06
43.8,6,7.10884234777196e-06
43.9,6,7.10884234777196e-06
44,117,0.000138622425781553
44.1,3,3.55442117388598e-06
44.2,8,9.47845646369595e-06
44.3,3,3.55442117388598e-06
44.4,2,2.36961411592399e-06
44.5,5,5.92403528980997e-06
44.6,4,4.73922823184797e-06
44.7,1,1.18480705796199e-06
44.9,4,4.73922823184797e-06
45,131,0.000155209724593021
45.1,3,3.55442117388598e-06
45.2,3,3.55442117388598e-06
45.3,2,2.36961411592399e-06
45.4,7,8.29364940573395e-06
45.5,2,2.36961411592399e-06
45.6,5,5.92403528980997e-06
45.7,7,8.29364940573395e-06
45.8,2,2.36961411592399e-06
45.9,2,2.36961411592399e-06
46,147,0.000174166637520413
46.1,1,1.18480705796199e-06
46.2,3,3.55442117388598e-06
46.3,1,1.18480705796199e-06
46.4,1,1.18480705796199e-06
46.5,2,2.36961411592399e-06
46.6,5,5.92403528980997e-06
46.7,2,2.36961411592399e-06
46.8,2,2.36961411592399e-06
46.9,1,1.18480705796199e-06
47,159,0.000188384322215957
47.1,1,1.18480705796199e-06
47.2,1,1.18480705796199e-06
47.3,1,1.18480705796199e-06
47.5,3,3.55442117388598e-06
47.6,2,2.36961411592399e-06
47.7,1,1.18480705796199e-06
47.8,4,4.73922823184797e-06
47.9,2,2.36961411592399e-06
48,151,0.000178905865752261
48.1,2,2.36961411592399e-06
48.2,7,8.29364940573395e-06
48.3,3,3.55442117388598e-06
48.4,3,3.55442117388598e-06
48.5,2,2.36961411592399e-06
48.6,2,2.36961411592399e-06
48.7,6,7.10884234777196e-06
48.8,2,2.36961411592399e-06
48.9,3,3.55442117388598e-06
49,204,0.000241700639824247
49.1,2,2.36961411592399e-06
49.2,4,4.73922823184797e-06
49.3,4,4.73922823184797e-06
49.4,4,4.73922823184797e-06
49.5,1,1.18480705796199e-06
49.7,1,1.18480705796199e-06
49.8,2,2.36961411592399e-06
49.9,1,1.18480705796199e-06
50,38,4.50226682025558e-05
50.3,1,1.18480705796199e-06
50.4,1,1.18480705796199e-06
50.5,2,2.36961411592399e-06
50.6,4,4.73922823184797e-06
50.7,1,1.18480705796199e-06
50.8,1,1.18480705796199e-06
51,288,0.000341224432693054
51.1,2,2.36961411592399e-06
51.3,2,2.36961411592399e-06
51.4,1,1.18480705796199e-06
51.6,1,1.18480705796199e-06
51.7,1,1.18480705796199e-06
51.9,1,1.18480705796199e-06
52,354,0.000419421698518546
52.2,2,2.36961411592399e-06
52.3,1,1.18480705796199e-06
52.5,1,1.18480705796199e-06
52.6,1,1.18480705796199e-06
52.8,1,1.18480705796199e-06
52.9,2,2.36961411592399e-06
53,414,0.000490510121996265
53.1,1,1.18480705796199e-06
53.3,1,1.18480705796199e-06
53.5,1,1.18480705796199e-06
53.6,1,1.18480705796199e-06
53.7,2,2.36961411592399e-06
53.8,1,1.18480705796199e-06
54,477,0.000565152966647871
54.7,1,1.18480705796199e-06
54.8,1,1.18480705796199e-06
54.9,2,2.36961411592399e-06
55,554,0.000656383110110944
55.2,2,2.36961411592399e-06
55.4,1,1.18480705796199e-06
56,703,0.000832919361747281
56.7,1,1.18480705796199e-06
56.8,1,1.18480705796199e-06
57,824,0.000976281015760683
57.2,2,2.36961411592399e-06
57.6,2,2.36961411592399e-06
57.7,1,1.18480705796199e-06
57.9,1,1.18480705796199e-06
58,898,0.00106395673804987
58.1,1,1.18480705796199e-06
59,164,0.000194308357505767
60,1290,0.00152840110477097
60.5,1,1.18480705796199e-06
60.6,1,1.18480705796199e-06
61,1613,0.0019110937844927
62,1890,0.00223928533954817
63,2300,0.00272505623331259
63.1,1,1.18480705796199e-06
64,4195,0.00497026560815056
65,3312,0.00392408097597012
65.8,1,1.18480705796199e-06
66,3955,0.00468591191423968
67,682,0.00080803841353008
68,5099,0.0060413311885482
69,5028,0.0059572098874329
69.7,1,1.18480705796199e-06
70,6386,0.00756617787214529
71,8406,0.00995948812922852
72,9751,0.0115530536221874
73,11636,0.0137864149264458
74,13693,0.0162235630446736
75,2546,0.00301651876957124
75.9,1,1.18480705796199e-06
76,17397,0.0206120883873648
77,21089,0.0249863960453605
78,24703,0.0292682887528351
79,28968,0.034321490855043
80,34451,0.0408177879538486
80.5,1,1.18480705796199e-06
81,41711,0.0494194871946527
82,50143,0.0594097803073882
83,10609,0.0125696180779188
83.5,1,1.18480705796199e-06
84,60829,0.0720706285287701
85,73001,0.0864921000382835
86,88497,0.104851870208463
87,102070,0.120933256406181
88,120781,0.143102181267708
89,144500,0.171204619875508
90,163754,0.194016894969508
91,186243,0.220662020896016
92,221873,0.262876696371201
93,455118,0.539227018605547
94,314286,0.372368271018643
95,62249,0.0737530545510761
96,362861,0.429920273859147
97,401130,0.475261655160294
98,442696,0.524509345331543
99,513107,0.607932795089705
100,557316,0.660311930315146
101,593332,0.702983941314706
102,672658,0.796969945994599
103,717760,0.850407113922801
104,139171,0.164890783063629
105,822516,0.974522762086667
106,875465,1.0372571109987
107,940284,1.11405511968874
108,1006497,1.19250474941757
109,1074233,1.27275884029569
110,1147049,1.35903175102825
111,1241853,1.47135619935128
112,237545,0.281444992583582
113,1255576,1.48761530660769
114,1387085,1.64342809799321
115,1430098,1.69439020397733
116,1495233,1.77156261169769
117,1600203,1.89593180857196
118,1596736,1.891824082502
119,1687011,1.99878253965952
120,363818,0.431054134213617
121,1747859,2.07087567952239
122,1785487,2.11545759949939
123,1801592,2.13453891716786
124,3242236,3.84142409637846
125,1827021,2.16466737584478
126,1877458,2.22442548942721
127,1805488,2.13915492546568
128,1854661,2.19741544292685
129,376294,0.44583578706875
130,1843929,2.1847000935808
131,1856364,2.19943316934656
132,1859406,2.20303735241688
133,1840502,2.18063975979317
134,1860015,2.20375889991518
134.8,1,1.18480705796199e-06
135,1879643,2.22701429284886
136,1806797,2.14070583790456
137,299808,0.355214634433469
138,1794986,2.12671208174297
139,1704140,2.01907709975535
140,1628923,1.92995946727662
141,1579596,1.87151648952853
142,1430793,1.69521364488261
143,1381313,1.63658939165466
144,1316485,1.5597807197011
145,225156,0.266766417942491
146,1192136,1.41245114685058
147,1113958,1.31982530067323
148,1046263,1.23961978688449
149,990389,1.17341987732792
150,957113,1.13399423766718
151,896919,1.06267596162021
152,817284,0.96832385155941
153,1383063,1.63866280400609
154,144832,0.171597975818751
155,672451,0.7967246909336
156,626883,0.742735402916388
157,539096,0.638724745719079
158,491806,0.582695219948056
159,459712,0.544670022229824
160,426236,0.505007421157488
161,408747,0.484286330520791
162,74441,0.0881982222017487
163,391740,0.464136316886031
164,376231,0.445761144224099
165,368245,0.436299275059214
166,342956,0.406336689370414
167,325468,0.385616783540774
168,326896,0.387308688019544
169,306564,0.363219190917061
170,57443,0.0680588718305108
171,295827,0.350497917535723
172,273613,0.324178613550155
173,265479,0.314541392940692
174,256721,0.304164852727061
175,236154,0.279796925965957
176,218926,0.259385069971387
177,201348,0.238558531506531
178,185513,0.219797111743703
179,33646,0.0398640182721892
180,168172,0.199251372551584
181,153489,0.181854850519528
182,136724,0.161991560192796
183,128865,0.152680161524272
184,197323,0.233789683098234
185,96520,0.114357577234492
186,88234,0.104540265952219
187,16356,0.0193787042400264
188,78850,0.0934220365203032
189,74987,0.088845126855396
190,69359,0.0821770327331859
191,65159,0.0772008430897455
192,65410,0.077498229661294
193,61029,0.0723075899403625
194,53012,0.0628089917566812
194.4,1,1.18480705796199e-06
195,12100,0.0143361654013401
196,43001,0.0509478882994237
197,39720,0.0470605363422504
198,38961,0.0461612677852572
199,35764,0.0423734396209527
200,35104,0.0415914669626978
201,33650,0.0398687575004211
202,32217,0.0381709289863615
203,6284,0.00744532755223317
204,30881,0.0365880267569243
205,29035,0.0344008729279265
206,26851,0.0318132543133375
207,25713,0.0304649438813767
208,23656,0.0280277957631489
209,21938,0.0259922972375702
210,20177,0.0239058520084991
211,17832,0.0211274794575783
212,3195,0.00378545855018857
213,16685,0.0197685057620959
214,15318,0.0181488745138618
215,22812,0.027027818606229
216,10927,0.0129463867223507
217,10430,0.0123575376145436
218,9149,0.0108397997732943
219,8153,0.00965973194356413
220,1623,0.00192294185507232
221,7186,0.00851402351851488
222,6767,0.00801758936122881
223,6738,0.00798322995654791
224,6399,0.0075815803638988
225,6086,0.00721073575475669
226,5211,0.00617402957903995
227,4253,0.00503898441751236
228,907,0.00107462000157153
229,4001,0.00474041303890594
230,3551,0.00420724986282304
231,3351,0.00397028845123064
232,3389,0.0040153111194332
233,3179,0.00376650163726118
234,2969,0.00351769215508916
235,2854,0.00338143934342353
236,2549,0.00302007319074512
237,485,0.000574631423111567
238,2495,0.00295609360961517
239,2314,0.00274164353212405
240,2180,0.00258287938635715
241,2038,0.00241463678412654
242,1826,0.0021634576878386
243,1590,0.00188384322215957
244,2637,0.00312433621184578
245,221,0.000261842359809601
246,1278,0.00151418342007543
247,1135,0.00134475601078686
248,984,0.0011658501450346
249,863,0.0010224884910212
250,794,0.000940736804021823
251,773,0.000915855855804621
252,705,0.000835288975863205
253,147,0.000174166637520413
254,567,0.00067178560186445
255,561,0.000664676759516678
268,2,2.36961411592399e-06
285.4,1,1.18480705796199e-06
296.8,1,1.18480705796199e-06
297.1,1,1.18480705796199e-06
308.3,1,1.18480705796199e-06
314,1,1.18480705796199e-06
322,1,1.18480705796199e-06
327.4,1,1.18480705796199e-06
338.3,1,1.18480705796199e-06
347.4,1,1.18480705796199e-06
352,3,3.55442117388598e-06
354,2,2.36961411592399e-06
366.5,1,1.18480705796199e-06
415.8,1,1.18480705796199e-06
434.8,1,1.18480705796199e-06
445,1,1.18480705796199e-06
474.8,1,1.18480705796199e-06
481.3,1,1.18480705796199e-06
652.3,1,1.18480705796199e-06
735,2,2.36961411592399e-06
858,7,8.29364940573395e-06
875,16,1.89569129273919e-05
914,1,1.18480705796199e-06
934,1,1.18480705796199e-06
994,2,2.36961411592399e-06
1014,1,1.18480705796199e-06
1024,1,1.18480705796199e-06
1084,2,2.36961411592399e-06
1094,1,1.18480705796199e-06
1104,2,2.36961411592399e-06
1124,3,3.55442117388598e-06
1144,2,2.36961411592399e-06
1164,1,1.18480705796199e-06
1174,2,2.36961411592399e-06
1184,1,1.18480705796199e-06
1194,2,2.36961411592399e-06
1204,1,1.18480705796199e-06
1214,2,2.36961411592399e-06
1224,1,1.18480705796199e-06
1234,1,1.18480705796199e-06
1244,2,2.36961411592399e-06
1254,2,2.36961411592399e-06
1264,5,5.92403528980997e-06
1274,1,1.18480705796199e-06
1284,1,1.18480705796199e-06
1294,4,4.73922823184797e-06
1304,3,3.55442117388598e-06
1324,1,1.18480705796199e-06
1334,4,4.73922823184797e-06
1344,1,1.18480705796199e-06
1354,3,3.55442117388598e-06
1364,1,1.18480705796199e-06
1374,5,5.92403528980997e-06
1384,3,3.55442117388598e-06
1404,2,2.36961411592399e-06
1414,7,8.29364940573395e-06
1424,1,1.18480705796199e-06
1434,2,2.36961411592399e-06
1504,1,1.18480705796199e-06
1514,3,3.55442117388598e-06
1554,4,4.73922823184797e-06
1574,1,1.18480705796199e-06
1614,1,1.18480705796199e-06
1634,1,1.18480705796199e-06
1674,2,2.36961411592399e-06
1714,1,1.18480705796199e-06
1744,1,1.18480705796199e-06
1754,2,2.36961411592399e-06
1764,1,1.18480705796199e-06
1784,1,1.18480705796199e-06
1824,2,2.36961411592399e-06
1904,1,1.18480705796199e-06
1909.2,1,1.18480705796199e-06
2034,1,1.18480705796199e-06
2429.4,1,1.18480705796199e-06
2519.6,1,1.18480705796199e-06
2826.3,1,1.18480705796199e-06
3684,1,1.18480705796199e-06
4692.4,1,1.18480705796199e-06
5099.8,1,1.18480705796199e-06
5302.9,1,1.18480705796199e-06
6279.8,1,1.18480705796199e-06
6408,1,1.18480705796199e-06
6447.4,1,1.18480705796199e-06
6476.3,1,1.18480705796199e-06
6477.2,1,1.18480705796199e-06
6547.5,1,1.18480705796199e-06
6553.6,1,1.18480705796199e-06
6564.9,1,1.18480705796199e-06
6571.6,1,1.18480705796199e-06
6573.6,1,1.18480705796199e-06
6636,1,1.18480705796199e-06
7094.1,1,1.18480705796199e-06
8264.6,1,1.18480705796199e-06
8460.2,1,1.18480705796199e-06
12236.1,1,1.18480705796199e-06
12883.6,1,1.18480705796199e-06
23996.9,1,1.18480705796199e-06
76029.5,1,1.18480705796199e-06
,73437,0.0870086759155549
